Version:16,,,,,,
Header:Section,Section Name,Species Section Code,Product Page Name,,,
Product,PRUP-BR-120/150,PRUP,Bird-Cherry-(Prunus-Padus)-120-150cm-bare-root.html,PRUP-BR-120/150,Bird Cherry,Bird Cherry 120/150cm bare root
Product,PRUP-BR-150/200,PRUP,Bird-Cherry-(Prunus-Padus)-150-200cm-bare-root.html,PRUP-BR-150/200,Bird Cherry,Bird Cherry 150/200cm bare root
Product,PRUP-BR-40/60,PRUP,Bird-Cherry-(Prunus-Padus)-40-60cm-bare-root.html,PRUP-BR-40/60,Bird Cherry,Bird Cherry 40/60cm bare root
Product,PRUP-BR-60/90,PRUP,Bird-Cherry-(Prunus-Padus)-60-90cm-bare-root.html,PRUP-BR-60/90,Bird Cherry,Bird Cherry 60/90cm bare root
Product,PRUP-BR-90/120,PRUP,Bird-Cherry-(Prunus-Padus)-90-120cm-bare-root.html,PRUP-BR-90/120,Bird Cherry,Bird Cherry 90/120cm bare root
Product,PRUP-PG-40/60-2L,PRUP,Bird-Cherry-(Prunus-Padus)-40-60cm-2L-pot.html,PRUP-PG-40/60-2L,Bird Cherry,Bird Cherry 40/60cm 2L pot
End,Section,,,,,
Section,Blackthorn,PRUS,Blackthorn_prunus_hedge.html,,,
Product,PRUS-BR-120/150,PRUS,Blackthorn-(Prunus-spinosa)-120-150cm-bare-root.html,PRUS-BR-120/150,Blackthorn,Blackthorn 120/150cm bare root
Product,PRUS-BR-150/200,PRUS,Blackthorn-(Prunus-spinosa)-150-200cm-bare-root.html,PRUS-BR-150/200,Blackthorn,Blackthorn 150/200cm bare root
Product,PRUS-BR-40/60,PRUS,Blackthorn-(Prunus-spinosa)-40-60cm-bare-root.html,PRUS-BR-40/60,Blackthorn,Blackthorn 40/60cm bare root
Product,PRUS-BR-60/90,PRUS,Blackthorn-(Prunus-spinosa)-60-90cm-bare-root.html,PRUS-BR-60/90,Blackthorn,Blackthorn 60/90cm bare root
Product,PRUS-BR-90/120,PRUS,Blackthorn-(Prunus-spinosa)-90-120cm-bare-root.html,PRUS-BR-90/120,Blackthorn,Blackthorn 90/120cm bare root
Product,PRUS-PG-40/60-2L,PRUS,Blackthorn-(Prunus-spinosa)-40-60cm-2L-pot.html,PRUS-PG-40/60-2L,Blackthorn,Blackthorn 40/60cm 2L pot
Product,PRUS-PG-60/90-2L,PRUS,Blackthorn-(Prunus-spinosa)-60-90cm-2L-pot.html,PRUS-PG-60/90-2L,Blackthorn,Blackthorn 60/90cm 2L pot
End,Section,,,,,
Section,Box,BUXS,box_buxus_hedge.html,,,
Product,BUXS-BR-20/30,BUXS,Box-(Buxus-sempervirens)-20-30cm-bare-root.html,BUXS-BR-20/30,Box,Box 20/30cm bare root
Product,BUXS-BR-30/40,BUXS,Box-(Buxus-sempervirens)-30-40cm-bare-root.html,BUXS-BR-30/40,Box,Box 30/40cm bare root
Product,BUXS-BR-40/50,BUXS,Box-(Buxus-sempervirens)-40-50cm-bare-root.html,BUXS-BR-40/50,Box,Box 40/50cm bare root
Product,BUXS-PG-20/30-1.5L,BUXS,Box-(Buxus-sempervirens)-20-30cm-1-5L-pot.html,BUXS-PG-20/30-1.5L,Box,Box 20/30cm 1.5L pot
Product,BUXS-PG-30/40-2L,BUXS,Box-(Buxus-sempervirens)-30-40cm-2L-pot.html,BUXS-PG-30/40-2L,Box,Box 30/40cm 2L pot
Product,BUXS-PG-40/50-5L,BUXS,Box-(Buxus-sempervirens)-40-50cm-5L-pot.html,BUXS-PG-40/50-5L,Box,Box 40/50cm 5L pot
Product,BUXS-PG-50/70-5L ,BUXS,Box-(Buxus-sempervirens)-50-70cm-5L-pot.html,BUXS-PG-50/70-5L ,Box,Box 50/70cm 5L  pot
Product,BUXS-PG-60/80-10L,BUXS,Box-(Buxus-sempervirens)-60-80cm-10L-pot.html,BUXS-PG-60/80-10L,Box,Box 60/80cm 10L pot
Product,BUXS-RB-100/120,BUXS,Box-(Buxus-sempervirens)-100-120cm-Root-ball.html,BUXS-RB-100/120,Box,Box 100/120cm Root ball
Product,BUXS-RB-120/140,BUXS,Box-(Buxus-sempervirens)-120-140cm-Root-ball.html,BUXS-RB-120/140,Box,Box 120/140cm Root ball
Product,BUXS-RB-140/160,BUXS,Box-(Buxus-sempervirens)-140-160cm-Root-ball.html,BUXS-RB-140/160,Box,Box 140/160cm Root ball
Product,BUXS-RB-40/50,BUXS,Box-(Buxus-sempervirens)-40-50cm-Root-ball.html,BUXS-RB-40/50,Box,Box 40/50cm Root ball
Product,BUXS-RB-50/60,BUXS,Box-(Buxus-sempervirens)-50-60cm-Root-ball.html,BUXS-RB-50/60,Box,Box 50/60cm Root ball
Product,BUXS-RB-60/80,BUXS,Box-(Buxus-sempervirens)-60-80cm-Root-ball.html,BUXS-RB-60/80,Box,Box 60/80cm Root ball
Product,BUXS-RB-80/100,BUXS,Box-(Buxus-sempervirens)-80-100cm-Root-ball.html,BUXS-RB-80/100,Box,Box 80/100cm Root ball
Product,BUXS-IH-30/40-15L,BUXS,Box-Buxus-sempervirens-15L-30-40cm-50cm-trough.html,BUXS-IH-30/40-15L,Box,Box 15L 30/40cm 50cm trough
Product,BUXS-IH-60/80-90L,BUXS,Box-Buxus-sempervirens-90L-60-80cm-1-Metre-trough.html,BUXS-IH-60/80-90L,Box,Box 90L 60/80cm 1 Metre trough
End,Section,,,,,
Section,Box Compact / Dwarf,BUSU,box_compact_hedge.html,,,
Product,BUSU-BR-15/20,BUSU,Dwarf-Box-(Buxus-suffruticosa)-15-20cm-bare-root.html,BUSU-BR-15/20,Box Compact / Dwarf,Dwarf Box 15/20cm bare root
Product,BUSU-PG-15/20-1L,BUSU,Dwarf-Box-(Buxus-suffruticosa)-15-20cm-1L-pot.html,BUSU-PG-15/20-1L,Box Compact / Dwarf,Dwarf-Box 15/20cm 1L pot
End,Section,,,,,
Section,Brachyglottis Senecio 'Sunshine',BRAC,Brachyglottis_Senecio_Sunshine_Hedging.html,,,
Product,BRAC-PG-20/40-2L,BRAC,Senecio-Sunshine-(Brachyglottis-Sunshine)-20-40cm-2L-pot.html,BRAC-PG-20/40-2L,Brachyglottis Senecio 'Sunshine',Senecio 'Sunshine' 20/40cm 2L pot
Product,BRAC-PG-40/60-5L ,BRAC,Senecio-Sunshine-(Brachyglottis-Sunshine)-40-60cm-5L-pot.html,BRAC-PG-40/60-5L ,Brachyglottis Senecio 'Sunshine',Senecio 'Sunshine' 40/60cm 5L  pot
End,Section,,,,,
Section,Ceanothus,CEAN,californian-lilac-ceanothus-autumnal-blue.html,,,
Product,CEAN-PG-20/40-2L,CEAN,Californian-Lilac-(Ceanothus)-20-40cm-2L-pot.html,CEAN-PG-20/40-2L,Ceanothus,Californian Lilac 20/40cm 2L pot
Product,CEAN-PG-40/60-5L,CEAN,Californian-Lilac-(Ceanothus)-40-60cm-5L-pot.html,CEAN-PG-40/60-5L,Ceanothus,Californian Lilac 40/60cm 5L pot
End,Section,,,,,
Section,Cotoneaster Franchetii,COTF,cotoneaster_franchettii.html,,,
Product,COTF-BR-60/100,COTF,Franchets-Cotoneaster-(Cotoneaster-franchetii)-60-100cm-bare-root.html,COTF-BR-60/100,Cotoneaster franchetii,Cotoneaster franchetii 60/100 bare root
Product,COTF-PG-40/60-2L,COTF,Franchets-Cotoneaster-(Cotoneaster-franchetii)-40-60cm-2L-pot.html,COTF-PG-40/60-2L,Cotoneaster franchetii,Cotoneaster franchetii 40/60 2L pot
Product,COTF-PG-60/90-2L,COTF,Franchets-Cotoneaster-(Cotoneaster-franchetii)-60-90cm-2L-pot.html,COTF-PG-60/90-2L,Cotoneaster franchetii,Cotoneaster franchetii 60/90 2L pot
Product,COTF-PG-90/120-5L,COTF,Franchets-Cotoneaster-(Cotoneaster-franchetii)-90-120cm-5L-pot.html,COTF-PG-90/120-5L,Cotoneaster franchetii,Cotoneaster franchetii 90/120 5L pot
End,Section,,,,,
Section,Cotoneaster horizontalis,COTH,cotoneaster_horizontalis.html,,,
Product,COTH-PG-20/40-2L,COTH,Wall-Cotoneaster-(Cotoneaster-horizontalis)-20-40cm-2L-pot.html,COTH-PG-20/40-2L,Cotoneaster horizontalis,Wall Cotoneaster 20/40cm 2L pot
Product,COTH-PG-40/60-5L,COTH,Wall-Cotoneaster-(Cotoneaster-horizontalis)-40-60cm-5L-pot.html,COTH-PG-40/60-5L,Cotoneaster horizontalis,Wall Cotoneaster 40/60cm 5L pot
End,Section,,,,,
Section,Cotoneaster lacteus,COTL,cotoneaster_lacteus.html,,,
Product,COTL-PG-20/40-2L,COTL,Late-Cotoneaster-(Cotoneaster-lacteus)-20-40cm-2L-pot.html,COTL-PG-20/40-2L,Cotoneaster lacteus,Late Cotoneaster 20/40cm 2L pot
Product,COTL-PG-40/60-2L,COTL,Late-Cotoneaster-(Cotoneaster-lacteus)-40-60cm-2L-pot.html,COTL-PG-40/60-2L,Cotoneaster lacteus,Late Cotoneaster 40/60cm 2L pot
End,Section,,,,,
Section,Cotoneaster Simonsii,COTS,Cotoneaster_simonsii__Himalyan_Cotoneaster_.html,,,
Product,COTS-PG-40/60-2L,COTS,Himalayan-Cotoneaster-(Cotoneaster-Simonsii)-40-60cm-2L-pot.html,COTS-PG-40/60-2L,Cotoneaster Simonsii,Himalayan Cotoneaster 40/60cm 2L pot
End,Section,,,,,
Section,Crab Apple,MAL,crab_apple.html,,,
Product,MAL-BR-120/150,MAL,Crab-Apple-(Malus-sylvestris)-120-150cm-bare-root.html,MAL-BR-120/150,Crab Apple,Crab Apple 120/150cm bare root
Product,MAL-BR-150/200,MAL,Crab-Apple-(Malus-sylvestris)-150-200cm-bare-root.html,MAL-BR-150/200,Crab Apple,Crab Apple 150/200cm bare root
Product,MAL-BR-40/60,MAL,Crab-Apple-(Malus-sylvestris)-40-60cm-bare-root.html,MAL-BR-40/60,Crab Apple,Crab Apple 40/60cm bare root
Product,MAL-BR-60/90,MAL,Crab-Apple-(Malus-sylvestris)-60-90cm-bare-root.html,MAL-BR-60/90,Crab Apple,Crab Apple 60/90cm bare root
Product,MAL-BR-90/120,MAL,Crab-Apple-(Malus-sylvestris)-90-120cm-bare-root.html,MAL-BR-90/120,Crab Apple,Crab Apple 90/120cm bare root
Product,MAL-PG-40/60-2L,MAL,Crab-Apple-(Malus-sylvestris)-40-60cm-2L-pot.html,MAL-PG-40/60-2L,Crab Apple,Crab Apple 40/60cm 2L pot
End,Section,,,,,
Section,Daisy Bush,OLE,daisy-bush-olearia-haastii.html,,,
Product,OLE-PG-20/40-2L,OLE,Daisy-Bush-(Olearia-haastii)-20-40cm-2L-pot.html,OLE-PG-20/40-2L,Daisy Bush,Daisy Bush 20/40cm 2L pot
End,Section,,,,,
Section,Dog Rose,ROS,dog-rose-hedge-rosa-canina.html,,,
Product,ROS-BR-120/150,ROS,Dog-Rose-(Rosa-canina)-120-150cm-bare-root.html,ROS-BR-120/150,Dog Rose,Dog rose 120/150cm bare root
Product,ROS-BR-40/60,ROS,Dog-Rose-(Rosa-canina)-40-60cm-bare-root.html,ROS-BR-40/60,Dog Rose,Dog rose 40/60cm bare root
Product,ROS-BR-60/90,ROS,Dog-Rose-(Rosa-canina)-60-90cm-bare-root.html,ROS-BR-60/90,Dog Rose,Dog rose 60/90cm bare root
Product,ROS-BR-90/120,ROS,Dog-Rose-(Rosa-canina)-90-120cm-bare-root.html,ROS-BR-90/120,Dog Rose,Dog rose 90/120cm bare root
Product,ROS-PG-40/60-2L,ROS,Dog-Rose-(Rosa-canina)-40-60cm-2L-pot.html,ROS-PG-40/60-2L,Dog Rose,Dog Rose 40/60cm 2L pot
Product,ROS-PG-60/90-2L,ROS,Dog-Rose-(Rosa-canina)-60-90cm-2L-pot.html,ROS-PG-60/90-2L,Dog Rose,Dog Rose 60/90cm 2L pot
End,Section,,,,,
Section,Dogwood - Orange Stemmed,COSA,orange-dogwood-cornus-sanguinea.html,,,
Product,COSA-BR-40/60,COSA,Orange-Dogwood-(Cornus-sanguinea)-40-60cm-bare-root.html,COSA-BR-40/60,Dogwood - Orange Stemmed,Orange Dogwood 40/60cm bare root
Product,COSA-BR-60/90,COSA,Orange-Dogwood-(Cornus-sanguinea)-60-90cm-bare-root.html,COSA-BR-60/90,Dogwood - Orange Stemmed,Orange Dogwood 60/90cm bare root
Product,COSA-PG-40/60-2L,COSA,Orange-Dogwood-(Cornus-sanguinea)-40-60cm-2L-pot.html,COSA-PG-40/60-2L,Dogwood - Orange Stemmed,Orange Dogwood 40/60cm 2L pot
End,Section,,,,,
Section,Dogwood - Red Stemmed,COAL,red-dogwood-cornus-alba.html,,,
Product,COAL-BR-40/60,COAL,Red-Dogwood-(Cornus-alba)-40-60cm-bare-root.html,COAL-BR-40/60,Red Dogwood,Red Dogwood 40/60cm bare root
Product,COAL-BR-60/90,COAL,Red-Dogwood-(Cornus-alba)-60-90cm-bare-root.html,COAL-BR-60/90,Red Dogwood,Red Dogwood 60/90cm bare root
Product,COAL-PG-40/60-2L,COAL,Red-Dogwood-(Cornus-alba)-40-60cm-2L-pot.html,COAL-PG-40/60-2L,Red Dogwood,Red Dogwood 40/60cm 2L pot
End,Section,,,,,
