Version:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header:Variable,Name,Description,Value Type,Value Range,Value Provider,Value ID,Control ID,Group ID,Layout type,Place of Settings,Prompt,Default,Top Value,Searchable,Excluded Categories,Excluded Layouts,Use Parent Settings,Top Use Parent Settings,Custom Categories,Custom Order Layout,Online Flag,NETQUOTEVAR Name,Value Sub ID,Value Sub Sub ID,Included Layout Types,Included Layouts,Created By,Bounded By,Sub Variables,No Layout,Used in External Design,Allow Use Parent,Allow New,Hide If one Choice,Upload,Property Tab ID,Modifiable In Duplicate,Default Encoding,Cascade,Allow Empty Value,Upload If Defined,Export To Google Base
Variable,Berry Colour,Berry Colour,3,None|Brown|Black|Orange|Red|White|Purple|Yellow|Green|Blue,21,-1,13,Hedges Attributes,,10,Berry Colour,,None,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,1,1,0,0
Variable,Colourful Foliage,Colourful Foliage,11,,21,-1,18,Hedges Attributes,,10,Colourful Foliage,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,1,0,0,0
Variable,Deciduous,Deciduous,11,1,21,-1,18,Hedges Attributes,,10,Deciduous,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,1,0,0,0
Variable,Evergreen,Evergreen,11,1,21,-1,18,Hedges Attributes,,10,Evergreen,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
Variable,Common Name,"The Common Name of a plant, applicable to both Products and Species Products",0,,21,-1,1,Hedges Attributes,,10,Common Name,,,1,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Flower Colour,Flower Colour,3,None|Red|Green|Blue|White|Yellow|Orange|Purple,21,-1,13,Hedges Attributes,,10,Flower Colour,,None,1,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Grows Up To,Grows Up To,0,,21,-1,1,Hedges Attributes,,10,Grows Up To,,,0,,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Growth Rate,Growth Rate,0,,21,-1,1,Hedges Attributes,,10,Growth Rate,,,0,,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,1,0,0
Variable,Has Berries,Has Berries,11,1,21,-1,18,Hedges Attributes,,10,Has Berries,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
Variable,Has Flowers,Has Flowers,11,1,21,-1,18,Hedges Attributes,,10,Has Flowers,,0,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Hedges Content,0,0,0,0,0,0
