Version:16,,,,,,,,,,,,,,,,,,,,,,,,
Header:Product,Product Reference,Short Description,Price,Pricing Model,Assembly Product,,,,,,,,,,,,,,,,,,,
Header:Component,Component Name,Price,Quantity,Name HTML,Is Optional,Selected by default,Associated Product Reference,Uses Associated Product Prices,Uses Associated Product Name,Uses Associated Product Tax,Component As Separate Order Line,Include No Choice Label,No Choice Label Text,IsDeleted,Content Category,Use Associated Product Shipping,Include Grid of Choice Details,Include Prices,Hide Out of Stock Options,PermutationLayout,PermutationPrice,ComponentAttributeList,AttributeList,ComponentLayout
Product,CRA-BRPK40/60-1000,Hawthorn 40/60cm bare root x 100,66599,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-40/60,0,1000,CRA-BR-40/60,0,1,CRA-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK60/90-100,Hawthorn 60/90cm bare root x 100,9399,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-60/90,0,1000,CRA-BR-60/90,0,1,CRA-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK60/90-250,Hawthorn 60/90cm bare root x 250,22249,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-60/90,0,250,CRA-BR-60/90,0,1,CRA-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK60/90-500,Hawthorn 60/90cm bare root x 500,48999,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-60/90,0,500,CRA-BR-60/90,0,1,CRA-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK60/90-1000,Hawthorn 60/90cm bare root x 1000,74299,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-60/90,0,1000,CRA-BR-60/90,0,1,CRA-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK90/120-100,Hawthorn 90/120cm bare root x 100,16899,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-90/120,0,100,CRA-BR-90/120,0,1,CRA-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK90/120-250,Hawthorn 90/120cm bare root x 250,33499,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-90/120,0,250,CRA-BR-90/120,0,1,CRA-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK90/120-500,Hawthorn 90/120cm bare root x 500,63299,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-90/120,0,500,CRA-BR-90/120,0,1,CRA-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK90/120-1000,Hawthorn 90/120cm bare root x 1000,111749,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-90/120,0,1000,CRA-BR-90/120,0,1,CRA-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK120/150-50,Hawthorn 120/150cm bare root x 50,11799,0,1,,,,,,,,,,,,,,,,,,,
Component,CRA-BR-120/150,0,50,CRA-BR-120/150,0,1,CRA-BR-120/150,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CRA-BRPK120/150-100,Hawthorn 120/150cm bare root x 100,22399,0,1,,,,,,,,,,,,,,,,,,,
